file,n_samples,rmse_3d,mae_3d,median_3d,p95_3d,max_3d,iqr_3d,x_rmse,x_mae,x_bias,x_std,x_max_abs,x_p95_abs,x_skew,x_kurtosis,y_rmse,y_mae,y_bias,y_std,y_max_abs,y_p95_abs,y_skew,y_kurtosis,z_rmse,z_mae,z_bias,z_std,z_max_abs,z_p95_abs,z_skew,z_kurtosis,ref_span,ref_median
6,20001,0.881572,0.878597,0.876172,0.894255,2.277173,0.014254,0.079881,0.070014,0.025916,0.075560,0.159354,0.131777,-0.165309,-1.273372,0.116595,0.102832,0.006280,0.116426,0.317500,0.179920,-0.137561,-1.219650,0.870169,0.866928,-0.866928,0.075039,2.276831,0.878060,-12.641432,230.228055,0.978427,3.205733
3,20001,0.882291,0.879376,0.876316,0.894477,2.279547,0.015584,0.080506,0.070963,0.028546,0.075276,0.154315,0.130478,-0.221202,-1.268680,0.118872,0.105068,0.010229,0.118431,0.368820,0.184797,-0.125349,-1.104969,0.870532,0.867381,-0.867381,0.073998,2.278674,0.879180,-13.799107,245.353123,0.978427,3.205733
2,20001,0.884479,0.880830,0.876597,0.894699,2.276867,0.014247,0.083461,0.071547,0.030916,0.077523,0.183408,0.137788,-0.219115,-1.082803,0.118807,0.105425,0.008643,0.118492,0.382837,0.181958,-0.208295,-0.989795,0.872481,0.868601,-0.868601,0.082192,2.276579,0.878820,-12.971109,201.286089,0.978427,3.205733
1,20001,0.884972,0.880941,0.877165,0.894056,2.275814,0.014542,0.081680,0.070748,0.031530,0.075349,0.166948,0.137668,-0.164248,-1.168093,0.118201,0.104019,0.010823,0.117705,0.384265,0.179196,-0.180879,-0.995152,0.873231,0.868921,-0.868921,0.086650,2.274441,0.878640,-12.088028,180.713791,0.978427,3.205733
4,20001,0.885162,0.881261,0.876603,0.894570,2.276264,0.015165,0.079706,0.068817,0.028073,0.074599,0.181367,0.135537,-0.199052,-1.071362,0.119189,0.104903,0.008301,0.118900,0.382623,0.182858,-0.156306,-1.010693,0.873471,0.869368,-0.869368,0.084567,2.275720,0.879660,-12.776338,190.066612,0.978427,3.205733
9,20001,0.885168,0.881250,0.876385,0.895014,2.277144,0.013269,0.080486,0.070608,0.023133,0.077089,0.190083,0.135637,-0.168410,-1.175944,0.120182,0.105081,0.003883,0.120119,0.394192,0.179052,-0.181984,-0.982782,0.873270,0.869112,-0.869112,0.085124,2.277132,0.878200,-12.535365,187.535837,0.978427,3.205733
5,20001,0.885184,0.881233,0.876587,0.893090,2.275076,0.013727,0.078422,0.067754,0.025997,0.073987,0.199416,0.130566,-0.218273,-1.004416,0.118470,0.104003,0.008368,0.118175,0.397863,0.176648,-0.177304,-0.891723,0.873708,0.869578,-0.869578,0.084855,2.274970,0.877630,-12.849575,189.381561,0.978427,3.205733
10,20001,0.885300,0.881182,0.876986,0.895000,2.278687,0.014833,0.080441,0.070073,0.023621,0.076895,0.195083,0.135142,-0.213352,-1.061044,0.119726,0.105138,0.003580,0.119673,0.390547,0.182145,-0.124335,-0.971126,0.873470,0.869104,-0.869104,0.087225,2.278393,0.878920,-12.306203,181.012155,0.978427,3.205733
7,20001,0.885300,0.881276,0.876667,0.894953,2.279607,0.015223,0.080539,0.069959,0.025772,0.076304,0.181423,0.134994,-0.199655,-1.121335,0.120997,0.106596,0.006755,0.120808,0.405459,0.184535,-0.209970,-0.893792,0.873287,0.869001,-0.869001,0.086418,2.279338,0.878660,-12.491861,185.894186,0.978427,3.205733
8,20001,0.886223,0.882100,0.876390,0.896626,2.277840,0.013878,0.081070,0.070290,0.024383,0.077317,0.215676,0.132097,-0.292383,-0.944624,0.121688,0.106263,0.006442,0.121517,0.422562,0.184960,-0.192323,-0.855596,0.874078,0.869753,-0.869753,0.086844,2.277756,0.879240,-12.694891,185.322960,0.978427,3.205733
